Origen;Destino;Tipo de Interacción;Periodicidad de la Interacción
Gerencia Técnica FNC;Comités Regionales;Transmisión de Innovaciones;4
Gerencia Técnica FNC;Extensionistas FNC;Entrenamiento y Capacitación;8
Extensionistas FNC;Productores de Café;Entrega de Soluciones Técnicas;10
Gerencia Técnica FNC;Productores de Café;Divulgación Masiva;6
Extensionistas FNC;Productores de Café;Visitas en fincas;10
Extensionistas FNC;Productores de Café;Capacitación en Escuelas de campo;8
Comité Científico (CENICAFE);Gerencia Técnica FNC;Evaluación de Innovaciones;3
Investigadores CENICAFE;Gerencia Técnica FNC;Suministro de Soluciones Técnicas;4
CIAT (equipos aliados);Gerencia Técnica FNC;Suministro de Soluciones Científicas;2
Comités Regionales;Productores de Café;Representación y Organización;8
Investigadores CENICAFE;Extensionistas FNC;Capacitación en Innovaciones;4
Gerencia Técnica FNC;Extensionistas FNC;Coordinación IPA;5
Productores experimentados;Productores de Café;Capacitación en Escuelas de campo;8
Extensionistas FNC;Productores experimentados;Implementación IPA;8
Comités Regionales;Extensionistas FNC;Coordinación programas de extensión;7
Equipo SICA;Gerencia Técnica FNC;Identificación de necesidades;10
