Origen;Destino;Tipo de Interacción;Periodicidad de la Interacción
Fedearroz;SubGerencia Técnica de Fedearroz;Supervisan desarrollo e impacto innovaciones;7
Ministerio de Agricultura;Fedearroz;Apoyan programas de desarrollo rural;5
FNA;SubGerencia Técnica de Fedearroz;Gestión y financiación de la transferencia;6
CIAT;Investigadores de Fedearroz;Apoyan investigación;4
Fontagro;SubGerencia Técnica de Fedearroz;Apoyo en transferencia de tecnología;5
SubGerencia Técnica de Fedearroz;Investigadores de Fedearroz;Orientan la priorización de ensayos;7
Universidades;Investigadores de Fedearroz;Apoyo en investigación;3
Investigadores de Fedearroz;Asistentes Técnicos;Divulgan conocimiento y capacitan ;4
Investigadores de Fedearroz;Productores de Arroz;Apoyan en extensión y asistencia técnica;6
SubGerencia Técnica de Fedearroz;Asistentes Técnicos;Priorizan innovaciones a incluir en AMTEC;8
Asistentes Técnicos;Productores de Arroz;Asesoran en la aplicación de tecnologías;10
